CartPriceInCP,Location,Time
4,Amber Horn,50
2,Ashley Blümel,41
4,Caroline Villaverde,54
3,Crystal Jessel,52
6,Delia Davey,58
1,Donato Wołk,60
2,Emily Hendriks,60
1,Federico Weinhage,50
0,Franck Thornton,33
0,Georgina Téllez,50
3,Ileana Lopez,35
1,James Cobb,45
7,Jennifer Freudenberger,37
1,Jenny Thomas,56
2,Josef Collet,41
0,Josephine Kuska,62
3,Kevin Federico,50
2,Magdalena Fracci,27
1,Margherita Grifeo,23
0,Miloš Pires,47
3,Mitchell Brown,50
3,None; to be selected,47
5,Olaf Novák,49
0,Oskar Meyers,43
0,Patricia Francois,0
0,Paula Hiller,100
3,Rachael Lee,52
1,Reyes Roberts,52
9,Ricardo Segarra,58
6,Rolando Marion,54
1,Sophia Kawala,76
1,Tiberius Baenre,52
2,Timoteo Mülichen,31
4,Todd Pottier,39
1,Tymoteusz Barrera,74
